ShareCode,TradeDateTime,LastPrice,Volume,Value,Flag
ADVANC,2025-10-20 09:56:22.000,298.0,106500,31737000.0,OPEN1_E
ADVANC,2025-10-20 09:56:23.000,298.0,1700,506600.0,Buy
ADVANC,2025-10-20 09:56:23.000,297.0,400,118800.0,Sell
ADVANC,2025-10-20 09:56:23.000,298.0,500,149000.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,100,29800.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,2200,655600.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,200,59600.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,700,208600.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,800,238400.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,9800,2920400.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,300,89400.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,26500,7897000.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,3000,894000.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,63700,18982600.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,400,119200.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,5000,1490000.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,600,178800.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,11900,3546200.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,1200,357600.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,2000,596000.0,Buy
ADVANC,2025-10-20 09:56:23.000,298.0,30000,8940000.0,Buy
ADVANC,2025-10-20 09:56:24.000,298.0,300,89400.0,Sell
ADVANC,2025-10-20 09:56:24.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 09:56:24.000,298.0,400,119200.0,Sell
ADVANC,2025-10-20 09:56:25.000,298.0,800,238400.0,Sell
ADVANC,2025-10-20 09:56:25.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 09:56:25.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 09:56:25.000,298.0,5100,1519800.0,Sell
ADVANC,2025-10-20 09:56:25.000,298.0,12900,3844200.0,Sell
ADVANC,2025-10-20 09:56:26.000,298.0,200,59600.0,Buy
ADVANC,2025-10-20 09:56:26.000,298.0,2100,625800.0,Buy
ADVANC,2025-10-20 09:56:26.000,298.0,8400,2503200.0,Buy
ADVANC,2025-10-20 09:56:52.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 09:56:54.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 09:57:18.000,298.0,1000,298000.0,Sell
ADVANC,2025-10-20 09:57:24.000,299.0,5000,1495000.0,Buy
ADVANC,2025-10-20 09:57:25.000,298.0,18200,5423600.0,Sell
ADVANC,2025-10-20 09:57:25.000,299.0,5000,1495000.0,Buy
ADVANC,2025-10-20 09:57:26.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 09:57:26.000,299.0,100,29900.0,Buy
ADVANC,2025-10-20 09:57:26.000,299.0,4900,1465100.0,Buy
ADVANC,2025-10-20 09:57:27.000,298.0,300,89400.0,Sell
ADVANC,2025-10-20 09:57:27.000,299.0,5000,1495000.0,Buy
ADVANC,2025-10-20 09:57:28.000,298.0,300,89400.0,Sell
ADVANC,2025-10-20 09:57:28.000,299.0,1300,388700.0,Buy
ADVANC,2025-10-20 09:57:28.000,299.0,100,29900.0,Buy
ADVANC,2025-10-20 09:57:28.000,299.0,2400,717600.0,Buy
ADVANC,2025-10-20 09:57:28.000,299.0,1000,299000.0,Buy
ADVANC,2025-10-20 09:57:29.000,298.0,300,89400.0,Sell
ADVANC,2025-10-20 09:57:29.000,299.0,5000,1495000.0,Buy
ADVANC,2025-10-20 09:57:30.000,298.0,300,89400.0,Sell
ADVANC,2025-10-20 09:57:30.000,299.0,5000,1495000.0,Buy
ADVANC,2025-10-20 09:57:31.000,299.0,2000,598000.0,Buy
ADVANC,2025-10-20 09:57:31.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 09:57:32.000,299.0,200,59800.0,Buy
ADVANC,2025-10-20 09:57:35.000,298.0,2800,834400.0,Sell
ADVANC,2025-10-20 09:57:35.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 09:58:03.000,299.0,100,29900.0,Buy
ADVANC,2025-10-20 09:58:20.000,298.0,1200,357600.0,Sell
ADVANC,2025-10-20 09:58:20.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 09:58:20.000,298.0,9600,2860800.0,Sell
ADVANC,2025-10-20 09:58:20.000,298.0,10400,3099200.0,Sell
ADVANC,2025-10-20 09:58:44.000,297.0,900,267300.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 09:58:44.000,297.0,800,237600.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,800,238400.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,1200,357600.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,700,208600.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,1000,298000.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,1000,298000.0,Buy
ADVANC,2025-10-20 09:58:44.000,298.0,2000,596000.0,Buy
ADVANC,2025-10-20 09:58:44.000,298.0,900,268200.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,3000,894000.0,Buy
ADVANC,2025-10-20 09:58:44.000,298.0,2400,715200.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,5000,1490000.0,Buy
ADVANC,2025-10-20 09:58:44.000,298.0,1800,536400.0,Sell
ADVANC,2025-10-20 09:58:44.000,298.0,18000,5364000.0,Sell
ADVANC,2025-10-20 09:58:45.000,297.0,100,29700.0,Sell
ADVANC,2025-10-20 09:58:45.000,297.0,500,148500.0,Sell
ADVANC,2025-10-20 09:58:45.000,297.0,300,89100.0,Sell
ADVANC,2025-10-20 09:58:45.000,298.0,3000,894000.0,Buy
ADVANC,2025-10-20 09:58:45.000,298.0,5000,1490000.0,Buy
ADVANC,2025-10-20 09:58:46.000,297.0,300,89100.0,Sell
ADVANC,2025-10-20 09:58:46.000,297.0,100,29700.0,Sell
ADVANC,2025-10-20 09:58:46.000,298.0,2000,596000.0,Buy
ADVANC,2025-10-20 09:58:46.000,298.0,5000,1490000.0,Buy
ADVANC,2025-10-20 09:58:47.000,297.0,300,89100.0,Sell
ADVANC,2025-10-20 09:58:47.000,298.0,5000,1490000.0,Buy
ADVANC,2025-10-20 09:58:47.000,298.0,11400,3397200.0,Buy
ADVANC,2025-10-20 09:58:47.000,298.0,11600,3456800.0,Buy
ADVANC,2025-10-20 09:58:48.000,298.0,5000,1490000.0,Buy
ADVANC,2025-10-20 09:58:48.000,297.0,100,29700.0,Sell
ADVANC,2025-10-20 09:58:48.000,297.0,1400,415800.0,Sell
ADVANC,2025-10-20 09:58:49.000,298.0,200,59600.0,Buy
ADVANC,2025-10-20 09:58:49.000,298.0,100,29800.0,Buy
ADVANC,2025-10-20 09:58:49.000,298.0,300,89400.0,Buy
ADVANC,2025-10-20 09:58:49.000,298.0,8000,2384000.0,Buy
ADVANC,2025-10-20 09:58:49.000,298.0,10000,2980000.0,Buy
ADVANC,2025-10-20 09:58:49.000,298.0,1700,506600.0,Buy
ADVANC,2025-10-20 09:58:49.000,298.0,21300,6347400.0,Buy
ADVANC,2025-10-20 09:58:49.000,298.0,2200,655600.0,Buy
ADVANC,2025-10-20 09:58:50.000,298.0,4800,1430400.0,Sell
ADVANC,2025-10-20 09:59:47.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 10:00:21.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:00:21.000,298.0,8100,2413800.0,Sell
ADVANC,2025-10-20 10:00:56.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 10:01:00.000,298.0,8600,2562800.0,Sell
ADVANC,2025-10-20 10:01:24.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 10:01:28.000,298.0,20,5960.0,Odd
ADVANC,2025-10-20 10:02:07.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 10:02:44.000,298.0,500,149000.0,Sell
ADVANC,2025-10-20 10:03:00.000,298.0,2000,596000.0,Sell
ADVANC,2025-10-20 10:03:34.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:04:10.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:04:27.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:04:30.000,298.0,10,2980.0,Odd
ADVANC,2025-10-20 10:04:31.000,298.0,2800,834400.0,Sell
ADVANC,2025-10-20 10:04:37.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:04:49.000,298.0,5,1490.0,Odd
ADVANC,2025-10-20 10:05:21.000,298.0,1,298.0,Odd
ADVANC,2025-10-20 10:05:42.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:05:42.000,298.0,5800,1728400.0,Sell
ADVANC,2025-10-20 10:05:51.000,298.0,8400,2503200.0,Sell
ADVANC,2025-10-20 10:06:01.000,299.0,600,179400.0,Buy
ADVANC,2025-10-20 10:06:29.000,298.0,10,2980.0,Odd
ADVANC,2025-10-20 10:06:53.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:06:57.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 10:07:00.000,299.0,700,209300.0,Buy
ADVANC,2025-10-20 10:07:30.000,299.0,600,179400.0,Buy
ADVANC,2025-10-20 10:07:55.000,299.0,1,299.0,Odd
ADVANC,2025-10-20 10:07:59.000,298.0,7,2086.0,Odd
ADVANC,2025-10-20 10:08:04.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:08:20.000,299.0,400,119600.0,Buy
ADVANC,2025-10-20 10:08:27.000,299.0,600,179400.0,Buy
ADVANC,2025-10-20 10:08:47.000,299.0,100,29900.0,Buy
ADVANC,2025-10-20 10:09:10.000,299.0,200,59800.0,Buy
ADVANC,2025-10-20 10:09:49.000,299.0,1,299.0,Odd
ADVANC,2025-10-20 10:09:54.000,299.0,700,209300.0,Buy
ADVANC,2025-10-20 10:10:19.000,298.0,100,29800.0,Sell
ADVANC,2025-10-20 10:10:48.000,298.0,3,894.0,Odd
ADVANC,2025-10-20 10:10:48.000,298.0,7,2086.0,Odd
ADVANC,2025-10-20 10:13:19.000,298.0,1,298.0,Odd
ADVANC,2025-10-20 10:13:19.000,298.0,2,596.0,Odd
ADVANC,2025-10-20 10:13:27.000,299.0,100,29900.0,Buy
ADVANC,2025-10-20 10:14:18.000,298.0,200,59600.0,Sell
ADVANC,2025-10-20 10:14:30.000,298.0,5,1490.0,Odd
ADVANC,2025-10-20 10:14:31.000,298.0,100,29800.0,Sell
