Timestamp | Error Message
--------------------------------------------------------------------------------
2025-11-06 21:55:52.186478 | [ERROR] Order for TOP (Vol: 100, Price: 37.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 21:55:52.249294 | [ERROR] Order for TCAP (Vol: 100, Price: 50.75, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 21:59:36.203336 | [ERROR] Order for BANPU (Vol: 100, Price: 5.1, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 21:59:36.211008 | [ERROR] Order for HMPRO (Vol: 100, Price: 8.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 21:59:36.213456 | [ERROR] Order for LH (Vol: 100, Price: 4.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 21:59:36.396830 | [ERROR] Order for KTB (Vol: 100, Price: 25.25, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:02:44.715838 | [ERROR] Order for AOT (Vol: 100, Price: 40.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:02:44.716289 | [ERROR] Order for AWC (Vol: 100, Price: 2.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:02:44.718967 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.65, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:02:44.864598 | [ERROR] Order for GPSC (Vol: 100, Price: 39.75, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:04:11.748073 | [ERROR] Order for GPSC (Vol: 100, Price: 41.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:04:11.771882 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.6, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:04:11.783268 | [ERROR] Order for CPALL (Vol: 100, Price: 47.75, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:04:11.868104 | [ERROR] Order for EGCO (Vol: 100, Price: 116.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:09:18.507983 | [ERROR] Order for TOP (Vol: 100, Price: 35.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:09:19.701015 | [ERROR] Order for VGI (Vol: 100, Price: 1.77, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:10:43.077686 | [ERROR] Order for LH (Vol: 100, Price: 4.2, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:10:43.079014 | [ERROR] Order for PTTEP (Vol: 100, Price: 115.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:10:43.080700 | [ERROR] Order for TRUE (Vol: 100, Price: 10.4, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:11:38.336888 | [ERROR] Order for AWC (Vol: 100, Price: 2.36, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:11:38.337702 | [ERROR] Order for BCP (Vol: 100, Price: 30.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:11:38.340833 | [ERROR] Order for KKP (Vol: 100, Price: 58.25, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:12:29.984991 | [ERROR] Order for PTTGC (Vol: 100, Price: 28.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:12:29.986628 | [ERROR] Order for TOP (Vol: 100, Price: 36.75, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
