Order Number,owner,Volume,Price,Side,Symbol,Timestamp
ORD00001,YokAndPun,100,26.75,Buy,RATCH,2025-09-17 09:59:50
ORD00002,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 09:59:02
ORD00003,YokAndPun,100,26.75,Buy,RATCH,2025-09-17 09:59:50
ORD00004,YokAndPun,100,6.1,Buy,CCET,2025-09-17 09:59:27
ORD00005,YokAndPun,100,6.1,Buy,CCET,2025-09-17 09:59:27
ORD00006,YokAndPun,100,26.75,Buy,RATCH,2025-09-17 10:05:09
ORD00007,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:01:25
ORD00008,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:00:33
ORD00009,YokAndPun,100,26.75,Buy,RATCH,2025-09-17 10:09:31
ORD00010,YokAndPun,100,30.75,Buy,KTC,2025-09-17 09:59:28
ORD00011,YokAndPun,100,6.1,Buy,CCET,2025-09-17 10:00:26
ORD00012,YokAndPun,100,26.75,Buy,RATCH,2025-09-17 10:13:58
ORD00013,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:01:43
ORD00014,YokAndPun,100,31.75,Buy,BCP,2025-09-17 10:01:46
ORD00015,YokAndPun,100,30.75,Buy,KTC,2025-09-17 09:59:35
ORD00016,YokAndPun,100,37.25,Buy,TOP,2025-09-17 10:00:26
ORD00017,YokAndPun,100,31.75,Sell,BCP,2025-09-17 10:03:02
ORD00018,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:02:23
ORD00019,YokAndPun,100,10.7,Buy,TLI,2025-09-17 09:58:54
ORD00020,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:03:54
ORD00021,YokAndPun,100,6.1,Buy,CCET,2025-09-17 10:02:00
ORD00022,YokAndPun,100,58.75,Buy,KKP,2025-09-17 10:01:06
ORD00023,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:03:56
ORD00024,YokAndPun,100,6.1,Buy,CCET,2025-09-17 10:02:24
ORD00025,YokAndPun,100,58.0,Buy,CPN,2025-09-17 10:07:53
ORD00026,YokAndPun,100,58.25,Sell,CPN,2025-09-17 10:10:07
ORD00027,YokAndPun,100,30.75,Buy,KTC,2025-09-17 10:00:05
ORD00028,YokAndPun,100,33.5,Buy,PTT,2025-09-17 10:01:17
ORD00029,YokAndPun,100,30.75,Buy,KTC,2025-09-17 10:00:10
ORD00030,YokAndPun,100,25.5,Buy,KTB,2025-09-17 10:04:33
ORD00031,YokAndPun,100,25.5,Buy,KTB,2025-09-17 10:05:12
ORD00032,YokAndPun,100,25.5,Buy,KTB,2025-09-17 10:05:47
ORD00033,YokAndPun,100,7.85,Buy,HMPRO,2025-09-17 10:02:27
ORD00034,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:00:52
ORD00035,YokAndPun,100,37.25,Buy,TOP,2025-09-17 10:02:52
ORD00036,YokAndPun,100,25.25,Buy,CRC,2025-09-17 10:01:14
ORD00037,YokAndPun,100,10.700000000000001,Sell,TLI,2025-09-17 09:59:59
ORD00038,YokAndPun,100,5.3999999999999995,Buy,BEM,2025-09-17 09:59:46
ORD00039,YokAndPun,100,183.0,Buy,BH,2025-09-17 10:01:05
ORD00040,YokAndPun,100,184.0,Sell,BH,2025-09-17 10:01:14
ORD00041,YokAndPun,100,5.3999999999999995,Buy,BEM,2025-09-17 10:00:23
ORD00042,YokAndPun,100,5.3999999999999995,Buy,BEM,2025-09-17 10:00:24
ORD00043,YokAndPun,100,25.5,Buy,COM7,2025-09-17 10:00:54
ORD00044,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:01:16
ORD00045,YokAndPun,100,59.0,Sell,KKP,2025-09-17 10:10:52
ORD00046,YokAndPun,100,25.5,Buy,COM7,2025-09-17 10:01:29
ORD00047,YokAndPun,100,10.7,Buy,TLI,2025-09-17 10:02:53
ORD00048,YokAndPun,100,5.3999999999999995,Buy,BEM,2025-09-17 10:00:57
ORD00049,YokAndPun,100,25.5,Buy,KTB,2025-09-17 10:08:29
ORD00050,YokAndPun,100,5.3999999999999995,Buy,BEM,2025-09-17 10:01:23
ORD00051,YokAndPun,100,19.200000000000003,Buy,SCGP,2025-09-17 09:59:10
ORD00052,YokAndPun,100,25.5,Buy,COM7,2025-09-17 10:01:44
ORD00053,YokAndPun,100,14.4,Buy,OR,2025-09-17 10:03:53
ORD00054,YokAndPun,100,19.299999999999997,Sell,SCGP,2025-09-17 09:59:12
ORD00055,YokAndPun,100,25.5,Buy,COM7,2025-09-17 10:02:00
ORD00056,YokAndPun,100,25.5,Buy,KTB,2025-09-17 10:09:06
ORD00057,YokAndPun,100,30.75,Sell,KTC,2025-09-17 10:00:34
ORD00059,YokAndPun,100,30.75,Sell,KTC,2025-09-17 10:00:34
ORD00061,YokAndPun,100,25.5,Buy,COM7,2025-09-17 10:02:03
ORD00062,YokAndPun,100,30.75,Sell,KTC,2025-09-17 10:00:34
ORD00064,YokAndPun,100,30.75,Sell,KTC,2025-09-17 10:00:34
ORD00065,YokAndPun,100,30.75,Buy,KTC,2025-09-17 10:00:35
ORD00066,YokAndPun,100,30.75,Sell,KTC,2025-09-17 10:00:40
ORD00067,YokAndPun,100,30.75,Buy,KTC,2025-09-17 10:00:47
ORD00068,YokAndPun,100,32.25,Buy,BCP,2025-09-17 10:04:15
ORD00069,YokAndPun,100,7.8,Buy,HMPRO,2025-09-17 10:03:12
ORD00070,YokAndPun,100,30.75,Buy,KTC,2025-09-17 10:00:47
ORD00071,YokAndPun,100,30.75,Sell,KTC,2025-09-17 10:00:51
ORD00073,YokAndPun,100,50.75,Buy,TCAP,2025-09-17 10:21:03
ORD00074,YokAndPun,100,30.75,Sell,KTC,2025-09-17 10:00:51
ORD00075,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:02:28
ORD00076,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:03:09
ORD00077,YokAndPun,100,7.75,Buy,HMPRO,2025-09-17 10:05:11
ORD00078,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 10:05:00
ORD00080,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 10:05:00
ORD00081,YokAndPun,100,50.5,Buy,TCAP,2025-09-17 10:21:09
ORD00082,YokAndPun,100,50.5,Buy,TCAP,2025-09-17 10:21:09
ORD00083,YokAndPun,100,12.5,Sell,TU,2025-09-17 10:15:59
ORD00085,YokAndPun,100,12.5,Sell,TU,2025-09-17 10:15:59
ORD00087,YokAndPun,100,12.5,Sell,TU,2025-09-17 10:15:59
ORD00088,YokAndPun,100,50.5,Buy,TCAP,2025-09-17 10:21:09
ORD00089,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:04:53
ORD00090,YokAndPun,100,40.25,Buy,GPSC,2025-09-17 10:11:32
ORD00091,YokAndPun,100,40.25,Buy,GPSC,2025-09-17 10:12:29
ORD00092,YokAndPun,100,14.299999999999999,Buy,OR,2025-09-17 10:04:12
ORD00093,YokAndPun,100,40.25,Buy,GPSC,2025-09-17 10:12:52
ORD00094,YokAndPun,100,37.25,Buy,TOP,2025-09-17 10:13:09
ORD00095,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:19:17
ORD00096,YokAndPun,100,14.299999999999999,Buy,OR,2025-09-17 10:04:30
ORD00097,YokAndPun,100,7.8,Buy,HMPRO,2025-09-17 10:09:33
ORD00098,YokAndPun,100,14.299999999999999,Buy,OR,2025-09-17 10:04:38
ORD00099,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:21:21
ORD00100,YokAndPun,100,31.0,Buy,KTC,2025-09-17 10:00:57
ORD00101,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:05:47
ORD00103,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:05:47
ORD00104,YokAndPun,100,12.5,Buy,TU,2025-09-17 10:22:23
ORD00105,YokAndPun,100,31.0,Buy,KTC,2025-09-17 10:01:02
ORD00106,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:05:49
ORD00107,YokAndPun,100,31.0,Buy,KTC,2025-09-17 10:01:03
ORD00108,YokAndPun,100,40.0,Buy,GPSC,2025-09-17 10:18:02
ORD00109,YokAndPun,100,59.0,Buy,KKP,2025-09-17 10:32:27
ORD00110,YokAndPun,100,59.0,Buy,KKP,2025-09-17 10:32:27
ORD00111,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 10:11:07
ORD00112,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 10:12:19
ORD00113,YokAndPun,100,31.0,Buy,KTC,2025-09-17 10:01:09
